id;order_id;order_number;customer_code;created_date;transaction_id;location_code;tenant_code
1;portal reboot;holistic Peso Handcrafted;connect Keys online;2022-10-26T07:16:02;circuit Account Outdoors;integrate e-commerce;Rial Slovenia Cotton
2;Cotton;Global deposit solid;overriding web-enabled;2022-10-26T05:21:21;SDD Grove;tan;Gorgeous proactive
3;Rapid;Legacy Hryvnia Health;Table Plains;2022-10-26T04:19:07;Hryvnia Games Grocery;Uruguay virtual Granite;Lats quantifying
4;bypassing Table Specialist;visionary Ball Executive;Cambridgeshire;2022-10-26T02:32:28;Tasty;Concrete;Harbors cohesive Denar
5;tertiary ivory;Assistant payment payment;bypassing;2022-10-26T09:57:54;quantifying Nebraska solid;firmware Communications;Computers
6;Tasty;payment virtual;SCSI;2022-10-25T23:46:33;bluetooth Table;North;Home Product
7;of Awesome withdrawal;Engineer pixel improvement;Berkshire COM Shirt;2022-10-26T09:51:34;Tasty;Officer;Avon generate Metal
8;Solomon Home;Refined;virtual Account;2022-10-26T19:50:23;Aruba;Fish;Granite
9;Cambridgeshire Small;Generic;Metal New fuchsia;2022-10-26T09:20:02;metrics redundant Wooden;Metal navigating;Unbranded Fresh invoice
10;bypassing;Plaza navigate;Tasty Cambridgeshire Identity;2022-10-26T08:33:39;withdrawal;Account;harness Computers encompassing
