id;item_code;item_name;created_date;unit_price;transaction_id;location_code;tenant_code
1;Supervisor Berkshire;azure;2022-10-26T16:30:04;92381;cyan McDonald;Bedfordshire Tuna;Concrete killer
2;York Guadeloupe proactive;AI;2022-10-26T04:06:51;53112;Brand;Games Granite Shirt;purple back
3;Pizza District intermediate;Garden;2022-10-26T03:05:19;32174;Agent Vista;Directives array;Triple-buffered orchestrate
4;Chips;generating IB;2022-10-26T08:28:40;62505;Locks ivory;solution exuding Digitized;New primary
5;Practical;content;2022-10-26T18:27:09;77110;Cotton;synergies yellow;Kids National bypass
6;orchid;monitor Grass-roots fuchsia;2022-10-26T14:02:46;21196;system Inlet Towels;Savings;hacking
7;SMTP;GB killer;2022-10-26T05:11:59;35746;override Soap Proactive;Avon;Wooden Programmable
8;Account Program;HTTP;2022-10-26T19:51:57;19971;International;Strategist Metal Qatar;Account card web-readiness
9;world-class;tan;2022-10-26T19:18:46;88253;utilize infrastructures;payment utilisation;quantify Georgia Creative
10;Chips Profound Gloves;system;2022-10-26T13:46:00;65200;Unbranded Legacy invoice;Timor-Leste interfaces Dynamic;next withdrawal Alaska
